,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.192,0.272,193.438,audio_features,557un1HgwYMuqfWGSTmnxw,spotify:track:557un1HgwYMuqfWGSTmnxw,https://api.spotify.com/v1/tracks/557un1HgwYMuqfWGSTmnxw,https://api.spotify.com/v1/audio-analysis/557un1HgwYMuqfWGSTmnxw,192587,4
1,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,audio_features,1AWQoqb9bSvzTjaLralEkT,spotify:track:1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,267267,4
2,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,audio_features,3MjUtNVVq3C8Fn0MP3zhXa,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,211067,4
3,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4
4,0.845,0.768,6,-5.448,1,0.188,0.00733,5.04e-06,0.0575,0.96,100.0,audio_features,7LqjznQwfrax7MjQXmxqdQ,spotify:track:7LqjznQwfrax7MjQXmxqdQ,https://api.spotify.com/v1/tracks/7LqjznQwfrax7MjQXmxqdQ,https://api.spotify.com/v1/audio-analysis/7LqjznQwfrax7MjQXmxqdQ,187840,4
5,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,audio_features,47BBI51FKFwOMlIiX6m8ya,spotify:track:47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/tracks/47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/audio-analysis/47BBI51FKFwOMlIiX6m8ya,213307,4
6,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
7,0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716,audio_features,11mwFrKvLXCbcVGNxffGyP,spotify:track:11mwFrKvLXCbcVGNxffGyP,https://api.spotify.com/v1/tracks/11mwFrKvLXCbcVGNxffGyP,https://api.spotify.com/v1/audio-analysis/11mwFrKvLXCbcVGNxffGyP,217573,4
8,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,audio_features,0HPD5WQqrq7wPWR7P7Dw1i,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/audio-analysis/0HPD5WQqrq7wPWR7P7Dw1i,199693,4
9,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,audio_features,2tUBqZG2AbRi7Q0BIrVrEj,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,https://api.spotify.com/v1/tracks/2tUBqZG2AbRi7Q0BIrVrEj,https://api.spotify.com/v1/audio-analysis/2tUBqZG2AbRi7Q0BIrVrEj,291293,4
10,0.664,0.758,2,-6.583,0,0.21,0.00238,0.0,0.0598,0.701,99.259,audio_features,0TwBtDAWpkpM3srywFVOV5,spotify:track:0TwBtDAWpkpM3srywFVOV5,https://api.spotify.com/v1/tracks/0TwBtDAWpkpM3srywFVOV5,https://api.spotify.com/v1/audio-analysis/0TwBtDAWpkpM3srywFVOV5,235933,4
11,0.704,0.861,2,-4.221,0,0.0493,0.587,0.0615,0.0992,0.636,128.99,audio_features,3u5N55tHf7hXATSQrjBh2q,spotify:track:3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/tracks/3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/audio-analysis/3u5N55tHf7hXATSQrjBh2q,213394,4
12,0.788,0.79,1,-6.14,0,0.0414,0.242,6.82e-06,0.204,0.867,107.645,audio_features,1aOmguVejTHGDMmXjNpSPo,spotify:track:1aOmguVejTHGDMmXjNpSPo,https://api.spotify.com/v1/tracks/1aOmguVejTHGDMmXjNpSPo,https://api.spotify.com/v1/audio-analysis/1aOmguVejTHGDMmXjNpSPo,196800,4
