,date,latitude,longitude,location,species,adult m,adult f,adult,subadult,polar bear condition,polar bear den,cub/calf/pup,bear cubs,dead/alive,unidentified,total,habitat,occurrence remark
0, 2000-07-29 ,78.55,25.4166666666667, ,bowhead whale, , , , , , , , , , ,1, water , V. Large individual possibly a F 
1, 2000-08-08 ,79.1166666666667,21.4416666666667, ,bowhead whale, , , , , , , , , , ,1, water , 
2, 2000-08-16 ,78.917,24.05, ,bowhead whale, , , , , , , , , , ,1, water , 
3, 2001-08-08 ,79.268,20.858, ,bowhead whale, , , , , , , , , , ,1, water , 
4, 2005-08-06 ,78.932,11.922, Nye Ålesund ,bowhead whale, , , , , , , , , , ,1, water , 
5, 2006-04-17 ,80.27,0.68, Fram Strait ,bowhead whale, , , , , , , , , , ,1, unknown , Bowhaed Survey 2006 
6, 2006-04-25 ,81.03,1.15, Fram Strait ,bowhead whale, , , , , , , , , , ,1, unknown , Bowhaed Survey 2006 
7, 2006-04-26 ,81.12,1.6, Fram Strait ,bowhead whale, , , , , , , , , , ,1, unknown , Bowhaed Survey 2006 
8, 2006-04-26 ,81.04,1.16, Fram Strait ,bowhead whale, , , , , , , , , , ,1, unknown , Bowhaed Survey 2006 
9, 2006-04-28 ,81.18,1.76, Fram Strait ,bowhead whale, , , , , , , , , , ,1, unknown , Bowhaed Survey 2006 
10, 2006-07-19 ,78.244,15.565, Longyearbyen ,bowhead whale, , , , , , , , , , ,1, water , 
11, 2006-07-21 ,78.1033333333333,13.9666666666667, Festingen ,bowhead whale, , , , , , , , , , ,1, water , 
12, 2006-07-30 ,79.581,20.849, Palanderbukta ,bowhead whale, , , , , , , , , , ,1, water , 
13, 2006-07-30 ,79.581,20.849, Palanderbukta ,bowhead whale, , , , , , , , , , ,1, water ," Apparently feeding, white marks around tailstock "
14, 2007-08-22 ,79.523,17.879, Lomfjorden ,bowhead whale, , , , , , , , , , ,1, , Not sure between BoW and RW 
15, 2009-07-01 ,80.07,15.73, ,bowhead whale, , ,1, , , , , , , ,1, water , all infos with C. Lydersen 
16, 2009-07-01 ,80.076,15.79, East of Moffen ,bowhead whale, , ,1, , , , , , , ,1, water ," Feeding, pictures available "
